City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Praia Da Vitoria,PT,68.0,scattered clouds,38.73,-27.07,Hotel Branco I
260,Geraldton,AU,62.6,clear sky,-28.77,114.6,Broadwater Mariner Resort
262,Quepos,CR,69.8,few clouds,9.42,-84.17,Jungle Beach Hotel at Manuel Antonio
263,Romny,UA,67.87,clear sky,50.75,33.47,Floriana
264,Rimbey,CA,64.4,scattered clouds,52.63,-114.24,Rimbey Ridge Hotel & Suites
268,Muros,ES,63.0,clear sky,42.78,-9.06,Apartment Av. Castelao
269,Riachao Do Jacuipe,BR,62.62,clear sky,-11.81,-39.39,Riachão Palace Hotel
270,Ust-Kalmanka,RU,65.71,overcast clouds,52.12,83.31,
271,Spring Hill,US,75.0,clear sky,28.48,-82.53,Room of The world By traveline Plus
276,Lagoa,PT,67.37,clear sky,39.05,-27.98,Casa Das Faias
277,Avera,US,73.4,heavy intensity rain,33.19,-82.53,
279,Novoagansk,RU,68.09,overcast clouds,61.94,76.66,
286,Saint-Augustin,CA,58.01,broken clouds,51.23,-58.65,
290,Ouadda,CF,67.28,overcast clouds,8.08,22.4,
292,Verkhnevilyuysk,RU,68.41,scattered clouds,63.45,120.32,Gostinitsa Mila
302,Skagen,DK,57.0,clear sky,57.72,10.58,Ruth's Hotel
303,Aromashevo,RU,69.75,overcast clouds,56.86,68.64,Gostinichnyy Kompleks Milan
306,Kuzhener,RU,70.27,clear sky,56.81,48.91,
309,Suntar,RU,70.66,overcast clouds,62.14,117.63,Gostevoy Dom
310,Baixo Guandu,BR,65.8,clear sky,-19.52,-41.02,Hotel e Restaurante Barbosa
311,Mabaruma,GY,74.14,overcast clouds,8.2,-59.78,
312,Mwene-Ditu,CD,60.48,clear sky,-7.0,23.45,Hôtel Kamas
313,Castro,BR,58.59,broken clouds,-24.79,-50.01,CHACARA BAILLY
315,Gamba,GA,70.2,scattered clouds,-2.65,10.0,
316,Tukrah,LY,74.19,clear sky,32.53,20.58,استراحة لاقروتا
318,Jalu,LY,68.86,clear sky,29.03,21.55,Jalu Hotel
321,Zyryanka,RU,59.68,overcast clouds,65.75,150.85,Zyryanka
324,Burgeo,CA,56.53,broken clouds,47.62,-57.62,Gillett's Motel
325,Vilhena,BR,69.6,clear sky,-12.74,-60.15,Hotel Mirage
326,Fernie,CA,71.6,few clouds,49.5,-115.07,Fernie Stanford Resort
327,Moose Factory,CA,71.6,few clouds,51.26,-80.61,Cree Village Eco Lodge
328,Aprilia,IT,73.0,clear sky,41.59,12.65,Hotel Aquila
330,Shelburne,CA,73.99,clear sky,44.08,-80.2,The Retreat at the Farm
338,Krasnoborsk,RU,71.53,clear sky,61.56,45.93,"Baza Otdykha ""Medvezhiy Ugol"""
340,Nassau,US,73.0,overcast clouds,40.75,-73.58,Hilton Garden Inn Westbury
341,Altay,CN,70.2,overcast clouds,47.87,88.12,Jinqiao Hotel
343,Oktyabrskiy,RU,72.54,clear sky,54.48,53.47,Уязы-Тау гостиница
346,Asau,RO,64.99,broken clouds,46.43,26.4,Casa Mika Ciobanus
347,Chicama,PE,62.31,overcast clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
348,Wajima,JP,73.4,light intensity shower rain,37.4,136.9,Wajiima Onsen Yashio
349,Ostrovnoy,RU,55.27,scattered clouds,68.05,39.51,
350,Gillette,US,70.0,clear sky,44.29,-105.5,National 9 Inn - Gillette WY
351,Mena,UA,64.98,clear sky,51.52,32.22,Ostrech
353,Tahe,CN,74.91,clear sky,52.33,124.73,塔河宾馆
354,Swan Hill,AU,58.37,clear sky,-35.34,143.55,Lazy River Motor Inn
356,Antofagasta,CL,57.2,overcast clouds,-23.65,-70.4,Hotel Terrado Suites Antofagasta
358,Bereda,ES,59.0,broken clouds,43.27,-7.54,Pazo de Verdes
364,Mollendo,PE,59.34,few clouds,-17.02,-72.01,Hostal La Casa de Melgar
365,Abdulino,RU,72.79,clear sky,53.7,53.67,Hotel Lazur
371,Caravelas,BR,70.83,clear sky,-17.71,-39.25,Pousada dos Navegantes
375,Zaragoza,ES,63.0,clear sky,41.66,-0.88,Hotel Goya
382,Pozo Colorado,PY,60.94,overcast clouds,-23.49,-58.8,Hospedaje la Amistad
383,Coswig,DE,55.99,scattered clouds,51.13,13.58,Hotel Goldener Anker Inh. Petra Paul e.K.
384,Nalut,LY,70.47,clear sky,30.33,10.85,
387,Inhambane,MZ,63.27,clear sky,-23.86,35.38,Oceano
389,Pisco,PE,59.0,few clouds,-13.7,-76.22,Hostal San Isidro Oficial
390,Soller,ES,71.01,clear sky,39.77,2.72,Hotel Marina & Wellness Spa
391,San Roque,ES,71.6,clear sky,36.21,-5.38,Hotel Guadacorte Park
392,Erice,IT,73.4,broken clouds,38.04,12.59,Hotel Villa San Giovanni
