City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
109,Rio Cuarto,AR,-33.13,-64.35,37.4,59,98,5.82,overcast clouds,0.0,0
110,Meulaboh,ID,4.14,96.13,84.33,66,99,1.48,overcast clouds,0.0,0
111,Ovsyanka,RU,55.96,92.55,69.8,73,6,8.95,moderate rain,1.05,0
112,Yellowknife,CA,62.46,-114.35,62.6,48,40,14.99,scattered clouds,0.0,0
113,Chotila,IN,22.42,71.18,81.19,86,93,12.39,overcast clouds,0.0,0
114,Chuy,UY,-33.7,-53.46,45.55,85,94,5.17,overcast clouds,0.0,0
115,Qaanaaq,GL,77.48,-69.36,44.02,60,0,0.56,clear sky,0.0,0
116,Barra Do Garcas,BR,-15.89,-52.26,68.02,55,0,1.34,clear sky,0.0,0
117,Iqaluit,CA,63.75,-68.51,50.0,61,90,2.24,light rain,0.0,0
118,Vila Velha,BR,-20.33,-40.29,68.0,93,0,2.24,clear sky,0.0,0
119,Toronto,CA,43.7,-79.42,77.0,73,1,9.17,clear sky,0.0,0
120,Jumla,NP,29.27,82.18,69.1,58,100,2.06,overcast clouds,0.0,0
121,Cape Town,ZA,-33.93,18.42,57.0,66,75,5.82,broken clouds,0.0,0
122,Victoria Point,AU,-27.58,153.3,73.0,57,54,5.99,broken clouds,0.0,0
123,Hasaki,JP,35.73,140.83,84.2,74,75,20.8,broken clouds,0.0,0
124,Airai,TL,-8.93,125.41,68.13,82,62,5.21,light rain,0.23,0
125,Port Elizabeth,ZA,-33.92,25.57,60.8,72,42,23.04,scattered clouds,0.0,0
126,Siparia,TT,10.13,-61.5,79.0,94,20,3.36,few clouds,0.0,0
127,Cherskiy,RU,68.75,161.3,65.98,44,34,14.81,scattered clouds,0.0,0
128,East London,ZA,-33.02,27.91,59.0,67,44,25.28,scattered clouds,0.0,0
129,Chokurdakh,RU,70.63,147.92,41.29,92,99,11.03,light rain,0.45,0
130,Lavrentiya,RU,65.58,-171.0,48.31,80,29,10.51,scattered clouds,0.0,0
131,Broome,US,42.25,-75.83,69.8,77,1,9.17,clear sky,0.0,0
132,Tapejara,BR,-28.07,-52.01,53.58,97,100,7.23,light rain,0.17,0
133,Provideniya,RU,64.38,-173.3,44.6,93,90,8.95,fog,0.0,0
134,Saravan,AM,39.72,45.65,71.6,35,0,4.7,clear sky,0.0,0
135,Hithadhoo,MV,-0.6,73.08,84.16,74,100,16.22,overcast clouds,0.0,0
136,Alice Springs,AU,-23.7,133.88,57.2,44,0,8.05,clear sky,0.0,0
137,Saint-Georges,GD,12.06,-61.75,80.6,88,75,6.93,broken clouds,0.0,0
138,Kununurra,AU,-15.77,128.73,77.0,17,0,10.29,clear sky,0.0,0
139,Tuburan,PH,6.64,122.27,83.32,71,14,3.06,light rain,0.26,0
140,Kambove,CD,-10.88,26.6,45.21,61,0,4.65,clear sky,0.0,0
141,Nikolskoye,RU,59.7,30.79,61.0,82,74,2.24,broken clouds,0.0,0
142,Srednekolymsk,RU,67.45,153.68,52.47,85,100,5.32,overcast clouds,0.0,0
143,Sulangan,PH,11.14,123.72,84.27,73,56,7.18,broken clouds,0.0,0
144,Sovetskiy,RU,61.36,63.58,75.76,47,41,3.65,scattered clouds,0.0,0
145,Yulara,AU,-25.24,130.99,59.0,38,0,9.17,clear sky,0.0,0
146,Didwana,IN,27.4,74.57,91.11,50,4,2.59,clear sky,0.0,0
147,Namibe,AO,-15.2,12.15,67.35,67,0,6.26,clear sky,0.0,0
148,Esperance,AU,-33.87,121.9,55.4,76,0,18.34,clear sky,0.0,0
149,Husavik,IS,66.04,-17.34,35.6,100,0,1.74,clear sky,0.0,0
150,Hami,CN,42.8,93.45,89.42,20,30,13.6,scattered clouds,0.0,0
151,Leningradskiy,RU,69.38,178.42,46.44,74,100,4.92,overcast clouds,0.0,0
152,Aklavik,CA,68.22,-135.01,50.0,76,75,5.82,broken clouds,0.0,0
153,Polaniec,PL,50.43,21.28,61.0,82,100,11.41,overcast clouds,0.0,0
154,Asfi,MA,32.3,-9.24,85.33,27,27,9.24,scattered clouds,0.0,0
155,Omsukchan,RU,62.53,155.8,59.25,61,99,1.36,light rain,0.56,0
156,Rio Claro,BR,-22.41,-47.56,55.4,93,15,1.12,few clouds,0.0,0
157,Hambantota,LK,6.12,81.12,84.2,79,20,9.17,few clouds,0.0,0
158,Sobolevo,RU,54.43,31.9,64.0,95,6,4.0,clear sky,0.0,0
